BSU03120,ycgI,BKE03120,,
BSU03140,tmrB,BKE03140,,
BSU03160,ycgJ,BKE03160,,
BSU03170,ycgK,BKE03170,,
BSU03180,cah,BKE03180,,
BSU03190,ycgL,BKE03190,,
BSU03200,ycgM,BKE03200,,
BSU03210,ycgN,BKE03210,,
BSU03220,ycgO,BKE03220,,
BSU03230,ycgP,BKE03230,,
BSU03240,ycgQ,BKE03240,,
BSU03250,ycgR,BKE03250,,
BSU03260,ycgS,BKE03260,,
BSU03270,ycgT,BKE03270,,
BSU03280,nasF,BKE03280,,
BSU03290,nasE,BKE03290,,
BSU03300,nasD,BKE03300,,
BSU03310,nasC,BKE03310,,
BSU03320,nasB,BKE03320,,
BSU03330,nasA,BKE03330,,
BSU03340,folEB,BKE03340,,
BSU03350,yciB,BKE03350,,
BSU03359,yczL,BKE03359,,
BSU03360,yciC,BKE03360,,
BSU03370,yckA,BKE03370,,
BSU03380,yckB,BKE03380,,
BSU03390,yckC,BKE03390,,
BSU03400,yckD,BKE03400,,
BSU03410,bglC,BKE03410,,
BSU03420,nin,BKE03420,,
BSU03430,nucA,BKE03430,,
BSU03440,tlpC,BKE03440,,
BSU03450,hxlB,BKE03450,,
BSU03460,hxlA,BKE03460,,
BSU03470,hxlR,BKE03470,,
BSU03480,srfAA,BKE03480,,
BSU03490,srfAB,BKE03490,,
BSU03500,comS,BKE03500,,
BSU03510,srfAC,BKE03510,,
BSU03520,srfAD,BKE03520,,
BSU03530,ycxA,BKE03530,,
BSU03540,ycxB,BKE03540,,
BSU03550,ycxC,BKE03550,,
BSU03560,ycxD,BKE03560,,
BSU03569,sfp,BKE03569,,
BSU03570,sfp,BKE03570,,
BSU03580,yczE,BKE03580,,
BSU03590,tcyC,BKE03590,,
BSU03600,tcyB,BKE03600,,
BSU03610,tcyA,BKE03610,,
BSU03620,yclA,BKE03620,,
BSU03630,ubiX,BKE03630,,
BSU03640,ubiD,BKE03640,,
BSU03651,bsdD,BKE03651,,
BSU03652,yclD,BKE03652,,
BSU03660,yclE,BKE03660,,
BSU03670,dtpT,BKE03670,,
BSU03680,yclG,BKE03680,,
BSU03690,yczF,BKE03690,,
BSU03700,gerKA,BKE03700,,
BSU03710,gerKC,BKE03710,,
BSU03720,gerKB,BKE03720,,
BSU03730,yclH,BKE03730,,
BSU03740,yclI,BKE03740,,
BSU03750,yclJ,BKE03750,,
BSU03760,yclK,BKE03760,,
BSU03770,rapC,BKE03770,,
BSU03780,phrC,BKE03780,,
BSU03788,yczM,BKE03788,,
BSU03789,yczN,BKE03789,,
BSU03790,yclM,BKE03790,,
BSU03800,yclN,BKE03800,,
BSU03810,yclO,BKE03810,,
BSU03820,yclP,BKE03820,,
BSU03830,yclQ,BKE03830,,
BSU03840,ycnB,BKE03840,,
BSU03850,ycnC,BKE03850,,
BSU03860,ycnD,BKE03860,,
