BSU02030,ybdM,BKK02030,,
BSU02040,ybdN,BKK02040,,
BSU02050,ybdO,BKK02050,,
BSU02060,ybxG,BKK02060,,
BSU02070,csgA,BKK02070,,
BSU02080,ybxH,BKK02080,,
BSU02090,ybxI,BKK02090,,
BSU02100,cypC,BKK02100,,
BSU02110,ybyB,BKK02110,,
BSU02120,ybeC,BKK02120,,
BSU02130,glpQ,BKK02130,,
BSU02140,glpT,BKK02140,,
BSU02150,ybeF,BKK02150,,
BSU02160,ybfA,BKK02160,,
BSU02170,ybfB,BKK02170,,
BSU02180,ybfE,BKK02180,,
BSU02190,ybfF,BKK02190,,
BSU02200,ybfG,BKK02200,,
BSU02210,ybfH,BKK02210,,
BSU02220,ybfI,BKK02220,,
BSU02230,purT,BKK02230,,
BSU02240,mpr,BKK02240,,
BSU02250,ybfJ,BKK02250,,
BSU02260,ybfK,BKK02260,,
BSU02270,pssA,BKK02270,,
BSU02280,ybfM,BKK02280,,
BSU02290,psd,BKK02290,,
BSU02300,ybfN,BKK02300,,
BSU02310,ybfO,BKK02310,,
BSU02320,ybfP,BKK02320,,
BSU02330,ybfQ,BKK02330,,
BSU02340,gltP,BKK02340,,
BSU02350,nagP,BKK02350,,
BSU02360,nagBB,BKK02360,,
BSU02370,ybgA,BKK02370,,
BSU02380,ybgB,BKK02380,,
BSU02390,ilvE,BKK02390,,
BSU02400,ybgF,BKK02400,,
BSU02410,ybgG,BKK02410,,
BSU02420,glnT,BKK02420,,
BSU02430,glsA,BKK02430,,
BSU02440,glnJ,BKK02440,,
BSU02450,glnL,BKK02450,,
BSU02460,ycbC,BKK02460,,
BSU02470,ycbD,BKK02470,,
BSU02480,gudP,BKK02480,,
BSU02490,gudD,BKK02490,,
BSU02500,ycbG,BKK02500,,
BSU02510,garD,BKK02510,,
BSU02520,ycbJ,BKK02520,,
BSU02530,rtpA,BKK02530,,
BSU02540,ycbK,BKK02540,,
BSU02550,ycbL,BKK02550,,
BSU02560,ycbM,BKK02560,,
BSU02570,ycbN,BKK02570,,
