ID_ECK,ID_b,ID_JW,name,strain_loc_plate,strain_loc_column,strain_loc_row,category_strain_1_odd_plate,category_strain_2_even_plate,comment
ECK2517,b2521,JW2505,sseA,"79, 80",H,10,verified,verified,
ECK2519,b2522,JW5404,sseB,"77, 78",H,11,verified,verified,
ECK2520,b2523,JW2507,pepB,"9, 10",E,2,verified,verified,
ECK2521,b2524,JW2508,yfhJ,"17, 18",E,5,verified,verified,
ECK2522,b2525,JW2509,fdx,"51, 52",B,6,verified,verified,
ECK2523,b2526,JW2510,hscA,"45, 46",G,11,verified,verified,
ECK2524,b2527,JW2511,hscB,"29, 30",F,11,verified,verified,
ECK2525,b2528,JW2512,iscA,"19, 20",D,11,verified,use other isolate ,
ECK2526,b2529,JW2513,iscU,"63, 64",B,5,verified,verified,
ECK2527,b2530,JW2514,iscS,"65, 66",D,6,verified,verified,
ECK2528,b2531,JW2515,iscR,"27, 28",G,9,verified,verified,
ECK2529,b2532,JW2516,yfhQ,"27, 28",A,4,verified,verified,
ECK2531,b2534,JW2518,yfhR,"21, 22",A,12,verified,verified,
ECK2532,b2535,JW5878,csiE,"89, 90",G,12,verified,verified,
ECK2533,b2536,JW2520,hcaT,"11, 12",G,1,verified,verified,
ECK2534,b2537,JW2521,hcaR,"21, 22",A,1,verified,verified,
ECK2535,b2538,JW2522,hcaE,"27, 28",B,4,verified,verified,
ECK2536,b2539,JW2523,hcaF,"51, 52",C,6,verified,verified,
ECK2537,b2540,JW2524,hcaC,"51, 52",D,6,verified,verified,
ECK2538,b2541,JW2525,hcaB,"47, 48",B,7,verified,verified,
ECK2539,b2542,JW2526,hcaD,"51, 52",E,6,verified,verified,
ECK2540,b2543,JW2527,yphA,"17, 18",E,10,verified,verified,
ECK2541,b2544,JW2528,yphB,"79, 80",C,8,verified,verified,
ECK2542,b2545,JW5842,yphC,"87, 88",A,11,verified,verified,
ECK2543,b2546,JW2530,yphD,"57, 58",H,9,verified,verified,
ECK2544,b2547,JW2531,yphE,"57, 58",A,10,verified,verified,
ECK2545,b2548,JW2532,yphF,"21, 22",B,12,verified,verified,
ECK2546,b2549,JW5405,yphG,"77, 78",A,12,verified,verified,
ECK2547,b2550,JW5406,yphH,"77, 78",B,12,verified,verified,
ECK2548,b2551,JW2535,glyA,"41, 42",B,9,verified,verified,
ECK2549,b2552,JW2536,hmp,"51, 52",F,6,verified,verified,
ECK2550,b2553,JW2537,glnB,"41, 42",C,9,verified,verified,
ECK2551,b2554,JW2538,yfhA,"3, 4",F,12,verified,verified,
ECK2552,b2555,JW2539,yfhG,"11, 12",H,1,verified,verified,1st-external
ECK2553,b2556,JW5407,yfhK,"77, 78",C,12,verified,verified,
ECK2555,b2557,JW2541,purL,"53, 54",H,4,verified,verified,
ECK2556,b2558,JW2542,yfhD,"21, 22",D,12,verified,verified,
ECK2558,b2560,JW5408,yfhB,"77, 78",D,12,verified,verified,
ECK2559,b2561,JW2545,yfhH,"21, 22",E,12,verified,verified,
ECK2560,b2562,JW2546,yfhL,"27, 28",C,4,verified,verified,
ECK2562,b2564,JW2548,pdxJ,"43, 44",H,6,verified,verified,
ECK2563,b2565,JW2549,recO,"79, 80",C,12,verified,verified,
ECK2567,b2569,JW2553,lepA,"53, 54",A,5,verified,verified,
ECK2568,b2570,JW2554,rseC,"61, 62",F,8,verified,verified,
ECK2569,b2571,JW2555,rseB,"61, 62",G,8,verified,verified,
ECK2570,b2572,JW2556,rseA,"91, 92",B,1,verified,verified,1st-external
ECK2572,b2574,JW2558,nadB,"43, 44",A,7,verified,verified,
ECK2573,b2575,JW2559,yfiC,"21, 22",F,12,verified,verified,
ECK2574,b2576,JW2560,srmB,"7, 8",G,9,verified,verified,
ECK2575,b2577,JW2561,yfiE,"27, 28",D,4,verified,verified,
ECK2576,b2578,JW2562,yfiK,"21, 22",A,5,verified,verified,
ECK2577,b2579,JW2563,yfiD,"19, 20",A,2,verified,verified,
ECK2578,b2580,JW2564,ung,"79, 80",D,12,verified,verified,
ECK2579,b2581,JW2565,yfiF,"27, 28",E,4,verified,verified,
ECK2580,b2582,JW2566,trxC,"43, 44",B,7,verified,verified,
ECK2581,b2583,JW5409,yfiP,"77, 78",E,12,verified,verified,
ECK2582,b2584,JW2568,yfiQ,"21, 22",G,12,verified,verified,
ECK2584,b2586,JW2570,yfiM,"11, 12",C,2,verified,verified,
ECK2585,b2587,JW2571,kgtP,"85, 86",H,10,verified,verified,
ECK2590,b2592,JW2573,clpB,"83, 84",B,3,verified,verified,
ECK2591,b2593,JW2575,yfiH,"21, 22",F,2,verified,verified,
ECK2592,b2594,JW2576,rluD,"53, 54",B,5,verified,verified,
ECK2594,b2597,JW2578,yfiA,"21, 22",B,5,verified,verified,
ECK2595,b2598,JW2579,pheL,"67, 68",A,3,verified,use other isolate ,1st-external
ECK2596,b2599,JW2580,pheA,"41, 42",D,9,verified,verified,
ECK2597,b2600,JW2581,tyrA,"41, 42",E,9,verified,verified,
ECK2598,b2601,JW2582,aroF,"41, 42",F,9,verified,verified,
ECK2599,b2602,JW5412,yfiL,"77, 78",F,12,verified,verified,
ECK2600,b2603,JW2584,yfiR,"11, 12",E,2,verified,verified,
ECK2601,b2604,JW2585,yfiN,"5, 6",E,11,verified,verified,
ECK2602,b2605,JW2586,yfiB,"27, 28",F,4,verified,verified,
ECK2605,b2608,JW5413,rimM,"69, 70",C,4,verified,verified,
ECK2608,b2611,JW2592,ypjD,"21, 22",G,2,verified,verified,
ECK2609,b4461,JW5415,yfjD,"77, 78",G,12,verified,verified,
ECK2612,b2616,JW5416,recN,"79, 80",E,12,verified,verified,
ECK2613,b2617,JW2598,smpA,"61, 62",C,1,verified,verified,
ECK2614,b2618,JW2599,yfjF,"17, 18",F,5,verified,verified,
ECK2615,b2619,JW2600,yfjG,"11, 12",F,2,verified,verified,
ECK2616,b2620,JW2601,smpB,"45, 46",G,4,verified,verified,
ECK2618,b2622,JW2602,intA,"63, 64",C,5,verified,verified,
